2016-03-18 15:47:06,071 INFO      [service_mgr.py:57(run)] start child process with command
2016-03-18 15:47:34,310 INFO      [service.py:82(run_forever)] start child process with command: python ./testpipe.py
2016-03-18 15:47:35,326 INFO      [service.py:106(run_forever)] 10
2016-03-18 15:47:36,329 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:47:37,331 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:47:38,333 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:47:39,334 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:47:40,336 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:47:41,338 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:47:42,340 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:47:43,342 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:47:44,343 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:47:45,347 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:47:45,348 INFO      [service.py:96(run_forever)] restart child process again, times=1
2016-03-18 15:47:46,360 INFO      [service.py:106(run_forever)] 010
2016-03-18 15:47:47,360 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:47:48,362 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:47:49,363 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:47:50,365 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:47:51,366 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:47:52,367 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:47:53,368 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:47:54,369 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:47:55,370 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:47:56,374 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:47:56,375 INFO      [service.py:96(run_forever)] restart child process again, times=2
2016-03-18 15:47:57,389 INFO      [service.py:106(run_forever)] 010
2016-03-18 15:47:58,392 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:47:59,394 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:48:00,396 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:48:01,397 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:48:02,399 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:48:03,401 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:48:04,403 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:48:05,405 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:48:06,407 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:48:07,411 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:48:07,411 INFO      [service.py:96(run_forever)] restart child process again, times=3
2016-03-18 15:48:08,423 INFO      [service.py:106(run_forever)] 010
2016-03-18 15:48:09,424 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:48:10,424 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:48:11,426 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:48:12,428 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:48:13,430 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:48:14,433 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:48:15,435 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:48:16,437 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:48:17,439 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:48:18,442 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:48:18,443 INFO      [service.py:96(run_forever)] restart child process again, times=4
2016-03-18 15:48:19,459 INFO      [service.py:106(run_forever)] 010
2016-03-18 15:48:20,461 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:48:21,463 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:48:22,465 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:48:23,466 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:48:24,468 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:48:25,470 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:48:26,472 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:48:27,474 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:48:28,476 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:48:29,480 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:48:29,480 INFO      [service.py:96(run_forever)] restart child process again, times=5
2016-03-18 15:48:30,492 INFO      [service.py:106(run_forever)] 010
2016-03-18 15:48:31,495 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:48:32,496 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:48:33,498 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:48:34,500 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:48:35,502 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:48:36,504 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:48:37,506 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:48:38,507 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:48:39,509 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:48:40,512 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:48:40,513 INFO      [service.py:96(run_forever)] restart child process again, times=6
2016-03-18 15:48:41,533 INFO      [service.py:106(run_forever)] 010
2016-03-18 15:48:42,535 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:48:43,537 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:48:44,539 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:48:45,541 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:48:46,543 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:48:47,545 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:48:48,547 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:48:49,549 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:48:50,551 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:48:51,555 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:48:51,555 INFO      [service.py:96(run_forever)] restart child process again, times=7
2016-03-18 15:48:52,569 INFO      [service.py:106(run_forever)] 010
2016-03-18 15:48:53,571 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:48:54,573 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:48:55,576 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:48:56,578 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:48:57,580 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:48:58,582 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:48:59,584 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:49:00,586 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:49:01,588 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:49:02,591 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:49:02,592 INFO      [service.py:96(run_forever)] restart child process again, times=8
2016-03-18 15:49:03,607 INFO      [service.py:106(run_forever)] 010
2016-03-18 15:49:04,609 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:49:05,611 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:49:06,613 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:49:07,615 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:49:08,617 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:49:09,618 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:49:10,620 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:49:11,621 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:49:12,624 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:49:13,626 INFO      [service.py:106(run_forever)] 0
2016-03-18 15:49:13,631 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:49:13,631 INFO      [service.py:96(run_forever)] restart child process again, times=9
2016-03-18 15:49:14,645 INFO      [service.py:106(run_forever)] 10
2016-03-18 15:49:15,646 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:49:16,649 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:49:17,651 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:49:18,653 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:49:19,655 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:49:20,656 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:49:21,658 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:49:22,659 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:49:23,661 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:49:24,664 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:49:24,665 INFO      [service.py:96(run_forever)] restart child process again, times=10
2016-03-18 15:49:25,677 INFO      [service.py:106(run_forever)] 010
2016-03-18 15:49:26,679 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:49:27,681 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:49:28,683 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:49:29,685 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:49:30,687 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:49:31,690 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:49:32,691 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:49:33,693 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:49:34,695 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:49:35,699 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:49:35,699 INFO      [service.py:96(run_forever)] restart child process again, times=11
2016-03-18 15:49:36,712 INFO      [service.py:106(run_forever)] 010
2016-03-18 15:49:37,714 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:49:38,716 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:49:39,718 INFO      [service.py:106(run_forever)] 7
